feature,control_mean,treatment_mean,smd,absolute_smd
f0,19.651704714704262,19.614755040418284,-0.006865619281048867,0.006865619281048867
f1,10.067935425576483,10.070336700075638,0.023994393805742004,0.023994393805742004
f2,8.448173104020228,8.446301578409317,-0.006240988881995132,0.006240988881995132
f3,4.232820995812514,4.169411678218143,-0.04883634030597951,0.04883634030597951
f4,10.336525673173544,10.339245227959136,0.007965661089336148,0.007965661089336148
f5,4.039338816451122,4.026602473530317,-0.030556830523055915,0.030556830523055915
f6,-3.999879725539942,-4.1827923913694836,-0.04044806879672539,0.04044806879672539
f7,5.080284299021872,5.105555292498398,0.021269530216864844,0.021269530216864844
f8,3.9346517474110114,3.9333918541197925,-0.022433335989502232,0.022433335989502232
f9,15.886252509894476,16.052588743702213,0.02400105771435615,0.02400105771435615
f10,5.331898099976468,5.333659813652799,0.010563462092590235,0.010563462092590235
f11,-0.17086774869060464,-0.17098480631134608,-0.005159528554173565,0.005159528554173565
